FecMatricula	CodClaseMat	FecTramitacion	MarcaItv	ModeloItv	CodProcedenciaItv	BastidorItv	CodTipo	CodPropulsionItv	CilindradaItv	PotenciaItv	Tara	PesoMax	NumPlazasItv	IndPrecinto	IndEmbargo	NumTransmisiones	NumTitulares	LocalidadVehiculo	CodProvinciaVeh	CodProvinciaMat	ClaveTramite	FecTramite	CodigoPostal	FecPrimMatriculacion	IndNuevoUsado	PersonaFisicaJuridica	CodigoItv	Servicio	CodMunicipioIneVeh	Municipio	KwItv	NumPlazasMax	Co2Itv	Renting	CodTutela	CodPosesion	IndBajaDef	IndBajaTemp	IndSustraccion	BajaTelematica	TipoItv	VarianteItv	VersionItv	FabricanteItv	MasaOrdenMarchaItv	MasaMáximaTecnicaAdmisibleItv	CategoríaHomologaciónEuropeaItv	Carroceria	PlazasPie	NivelEmisionesEuroItv	ConsumowhKmItv	ClasificaciónReglamentoVehiculosItv	CategoríaVehículoEléctrico	AutonomíaVehículoEléctrico	MarcaVehículoBase	FabricanteVehículoBase	TipoVehículoBase	VarianteVehículoBase	VersiónVehículoBase	DistanciaEjes12Itv	ViaAnteriorItv	ViaPosteriorItv	TipoAlimentacionItv	ContraseñaHomologacionItv	EcoInnovacionItv	ReduccionEcoItv	CodigoEcoItv	FecProceso	TipoProceso
28/06/2002	Ordinaria	21/12/2012	CITROEN	XSARA	ImportaciónUE	VF7N1WJYB73583195	40	Diesel	1868	12,78	1159	1697	5			1	1	ESCOZNAR	GR	GR	3	11/12/2014	18294		N	D		Particular PART-Sin especificar	18102	ILLORA	0,00	5		N			Voluntaria			En desguace					0	0			0	EURO 3	0	1000								0	0	0						11/12/2014	bajas
29/12/1997	Ordinaria	30/08/2005	CITROEN	SAXO 1.1I SX	FabricaciónNacional	VF7S1HDZF56441328	40	Gasolina	1124	9,42	825	1330	5			2	2		SO	SO	6	11/12/2014	42005		N	D		Particular PART-Sin especificar	42173	SORIA	0,00	5						S							0	0			0	EURO 2	0									0	0	0						11/12/2014	bajas
17/03/1988	Ordinaria	21/06/2007	AUDI	80 1.8 INYEC	ImportaciónNoComunitaria	WAUZZZ89ZJA142078	40	Gasolina	1781	12,00	1050	1510	5			8	1		TO	M	3	11/12/2014	45910		N	D		Particular PART-Sin especificar	45061	ESCALONA		5					Voluntaria			En desguace					0	0			0		0									0	0	0						11/12/2014	bajas
06/04/1998	Ordinaria	03/12/2014	CITROEN	XSARA 1.6 I	FabricaciónNacional	VF7N1NFZF36167691	40	Gasolina	1587	11,59	1078	1600	5			2	1		C	C	3	11/12/2014	15006		N	D		Particular PART-Sin especificar	15030	A CORU?A	0,00	5		N			Voluntaria			En desguace					0	0			0	EURO 2	0	1000								0	0	0						11/12/2014	bajas
28/11/1990	Ordinaria	15/10/2014	PEUGEOT	405 1.9 GLD	ImportaciónNoComunitaria	VF315BD9270144474	40	Diesel	1905	12,93	1080	1560	5			3	1		O	O	3	11/12/2014	33740		N	D		Particular PART-Sin especificar	33070	TAPIA DE CASARIEGO	0,00	5		N			Voluntaria			En desguace					0	0			0		0	1000								0	0	0						11/12/2014	bajas
22/01/2009	Ordinaria	11/12/2014	SEAT	IBIZA	FabricaciónNacional	VSSZZZ6JZ9R098269	40	Diesel	1896	12,89	1125	1626	5			3	1		PO	B	6	11/12/2014	36680		N	D		Particular PART-Sin especificar	36017	A ESTRADA	66,00	5		N								SCBXJX0/SGFM52R03047GG			1200	1626			0	EURO 4	0	1000								0	0	0						11/12/2014	bajas
27/07/1990	Ordinaria	06/11/2014	OPEL	KADETT 1.4 4PT	FabricaciónNacional	VSX000039L4273031	40	Gasolina	1389	10,69	885	1380	5			4	1	BENAMAHOMA	CA	CA	3	11/12/2014	11670		N	D		Particular PART-Sin especificar	11019	GRAZALEMA	0,00	5		N			Voluntaria			En desguace					0	0			0		0	1000								0	0	0						11/12/2014	bajas
10/03/1993	Ordinaria	19/01/2015	RENAULT	EXPRESS 1.6 D	FabricaciónNacional	VF1F404M509852841	21	Diesel	1595	11,63	910	1455	2			3	1		Z	B	6	11/12/2014	50011		N	D		Particular PART-Sin especificar	50297	ZARAGOZA	0,00	5		N											0	0			0		0	3100								0	0	0						11/12/2014	bajas
30/06/1994	Ordinaria		YAMAHA	3UH XC150	ImportaciónNoComunitaria	3UH401222	50	Gasolina	149	1,61	119	305	2		SI	0	1		H	H	3	11/12/2014	21450		N	D		Particular PART-Sin especificar	21021	CARTAYA		2					Voluntaria								0	0			0		0									0	0	0						11/12/2014	bajas
02/11/2004	Ordinaria	19/11/2014	RENAULT	TRAFIC	FabricaciónNacional	VF1FLABA556067225	02	Diesel	1870	12,78	1677	2000	3			3	1		SS	SE	3	11/12/2014	20500		N	D		Particular PART-Sin especificar	20055	MONDRAGON	0,00	3		N			Voluntaria			En desguace					0	0			0	EURO 3	0	2420								0	0	0						11/12/2014	bajas
