FecMatricula	CodClaseMat	FecTramitacion	MarcaItv	ModeloItv	CodProcedenciaItv	BastidorItv	CodTipo	CodPropulsionItv	CilindradaItv	PotenciaItv	Tara	PesoMax	NumPlazasItv	IndPrecinto	IndEmbargo	NumTransmisiones	NumTitulares	LocalidadVehiculo	CodProvinciaVeh	CodProvinciaMat	ClaveTramite	FecTramite	CodigoPostal	FecPrimMatriculacion	IndNuevoUsado	PersonaFisicaJuridica	CodigoItv	Servicio	CodMunicipioIneVeh	Municipio	KwItv	NumPlazasMax	Co2Itv	Renting	CodTutela	CodPosesion	IndBajaDef	IndBajaTemp	IndSustraccion	BajaTelematica	TipoItv	VarianteItv	VersionItv	FabricanteItv	MasaOrdenMarchaItv	MasaMáximaTecnicaAdmisibleItv	CategoríaHomologaciónEuropeaItv	Carroceria	PlazasPie	NivelEmisionesEuroItv	ConsumowhKmItv	ClasificaciónReglamentoVehiculosItv	CategoríaVehículoEléctrico	AutonomíaVehículoEléctrico	MarcaVehículoBase	FabricanteVehículoBase	TipoVehículoBase	VarianteVehículoBase	VersiónVehículoBase	DistanciaEjes12Itv	ViaAnteriorItv	ViaPosteriorItv	TipoAlimentacionItv	ContraseñaHomologacionItv	EcoInnovacionItv	ReduccionEcoItv	CodigoEcoItv	FecProceso	TipoProceso
22/01/2018	TransporteTemporal	23/03/2018	FIAT	SKL	ImportaciónUE	ZFA23000005244874		Diesel	0	0,00	0	0	0			0	1	CABEZAS DE SAN JUAN, LAS	SE	H	9	22/01/2018	41730	24/07/1996	U	D		Particular PART-Sin especificar	41020	LAS CABEZAS SAN JUAN	0,00	0		N										LECAPITAINE INDUSTRIE	0	0			0		0			000000						0	0	0	M		N			22/01/2018	matriculas
22/01/2018	Ordinaria		TOYOTA	TOYOTA AYGO	ImportaciónUE	JTDKGNEC70N322108	40	Gasolina	998	7,82	0	1240	4			0	1		M	M	1	22/01/2018	28009		N	D	TOYG0193	Particular PART-Sin especificar	28079	MADRID	51,00	4	97	N								KGB40(H)	KGB40L-AHGGKW(1P)	TOYOTA MOTOR EUROPE NV/SA	970	1240	M1	AB	0	EURO 6 W	0	1000		000000						2340	1430	1420	M		N		ND	22/01/2018	matriculas
22/01/2018	Ordinaria		BMW	318D	ImportaciónUE	WBA8H71000A130161	40	Diesel	1995	13,29	0	2115	5			0	1		M	IB	1	22/01/2018	28729		N	X	BMW19461	Público PUBL-Alquiler sin conductor	28169	VENTURADA	110,00	5	114	N								8H71	6A250000	BAYERISCHE MOTOREN WERKE AG	1595	2115	M1	AC	0	EURO 6 W	0	1000		000000						2810	1543	1586	M		N	0		22/01/2018	matriculas
22/01/2018	Remolque		KRONE	N/A	FabricaciónNacional	WKESD000000804506	S2		0	0,00	0	36000	0			0	1	VEIGA, A (SANTA MAR?A)	OU	OU	1	22/01/2018	32360		N	X		Público PUBL-Sin especificar	32083	A VEIGA	0,00	0		N								DA06CLNF	1227XBN1	FAHRZEUGWERK BERNARD KRONE GMBH	6703	39000	O4	DA06	0	ND	0	4311		000000						1310	2040	2040						22/01/2018	matriculas
22/01/2018	Ordinaria		KIA	SORENTO	ImportaciónNoComunitaria	KNAPH81BBH5369377	40	Diesel	2199	14,10	1826	2560	7			0	1		MU	MU	1	22/01/2018	30820		N	D	KIAUM128	Particular PART-Sin especificar	30005	ALCANTARILLA	147,00	7	174	N								C7D21	A63BZ1	KIA MOTORS CORPORATION	1901	2560	M1	AC	0	EURO 6W	0	1000		000000						2780	1633	1644	M					22/01/2018	matriculas
22/01/2018	Ordinaria		INFINITI	INFINITI FX 37	ImportaciónUE	JN1TCNS51U0410624	40	Gasolina	3696	22,64	0	2520	5			0	1		GR	GR	1	22/01/2018	18007	29/03/2010	U	D		Particular PART-Sin especificar	18087	GRANADA	235,00	5	282	N								D	D01	ND	2129	2520	M1	AF	0	EURO 5	0	1000		000000	INFINITI	ND				2885	1635	1640	M		N			22/01/2018	matriculas
22/01/2018	Ordinaria		NISSAN	NISSAN PULSAR	FabricaciónNacional	VSKDDAC13U0094832	40	Gasolina	1197	9,78	1252	1750	5			0	1		M	M	1	22/01/2018	28701		N	D	NISB1340	Particular PART-Sin especificar	28134	SAN SEBASTIAN REYES	85,00	5	117	N								B	B03	NISSAN INTERNATIONAL, S.A.	1265	1750	M1	AF	0	EURO 6W	0	1000		000000						2700	1540	1540	M					22/01/2018	matriculas
22/01/2018	Ordinaria		RENAULT	CLIO	ImportaciónUE	VF15RKJ0A58614790	40	Diesel	1461	11,02	1090	1621	5			0	1		TO	TO	1	22/01/2018	45500		N	X	RENABAGM	Particular PART-Sin especificar	45173	TORRIJOS	66,00	5	85	N								5RKJ	5RKJ0A	RENAULT, S.A.S.	1165	1621	M1	AB	0	EURO 6W	0	1000		000000						2589	1501	1505	M		N			22/01/2018	matriculas
22/01/2018	Ordinaria		MERCEDES-BENZ	CITAN	ImportaciónUE	WDF4157031U229091	0G	Diesel	1461	11,03	0	1980	5			0	1		IB	IB	1	22/01/2018	7015		N	X		Particular PART-Sin especificar	7040	PALMA MALLORCA	81,00	5	115	N								KX42	KX42B2	DAIMLER AG	1395	1980	M1	AC	0	EURO6-W	0	3100		000000						2697	1521	1533	M					22/01/2018	matriculas
22/01/2018	Ordinaria		RENAULT	CAPTUR	FabricaciónNacional	VF12R031659417783	40	Gasolina	1197	9,78	1195	1727	5			0	1		VI	VI	1	22/01/2018	1002		N	D	RENABAML	Particular PART-Sin especificar	1059	VITORIA GASTEIZ	87,00	5	125	N								2R03	2R0316	RENAULT, S.A.S.	1270	1727	M1	AB	0	EURO 6W	0	1000		000000						2606	1531	1516	M		N			22/01/2018	matriculas
